Tipo,Nome del sito,descrizione del sito,indirizzo,info,sito web
VILLE e GIARDINI,Villa Terrasi,Villa Terrasi,Viale Lazio,,
Chiese e Oratori,Chiesa di S. Cristina La Vetere,chiesa,"Vicolo dei Pellegrini, 2 ",tel. 091 348728 ,itimed@gmail.com
VILLE e GIARDINI,Villa Trabia (XVIII sec.),"Villa Trabia (XVIII sec.)
sede di biblioteca e mediateca comunale","Via Salinas, 3",tel. 091 7405905,
Chiese e Oratori,Chiesa di S. Domenico,chiesa,Piazza S. Domenico,tel. 091 589172 - 091 6114314 - 329 4259159,www.itinerars.it
Chiese e Oratori,Chiesa di S. Eulalia dei Catalani,chiesa sede dell'Istituto Cervantes PA,"Via Argenteria Nuova, 33 ",tel. 091 8430481,
Chiese e Oratori,Chiesa di S. Francesco d'Assisi,chiesa,Piazza S.Francesco d'Assisi,tel. 091 582370 ,
Chiese e Oratori,Chiesa di S. Francesco Saverio,Chiesa,Piazza S. Francesco Saverio,tel. 091 6517052 - 328 3227667,
Chiese e Oratori,Chiesa di S. Gioacchino al Collegio Maria all'Olivella,Chiesa,Via Patania,tel. 091 581058,
Chiese e Oratori,Chiesa di S. Giorgio dei Genovesi,Chiesa,Piazza S. Giorgio dei Genovesi,tel. 091 332779 - 333 9430999(Info e prenotazioni),www.santacita.it
Chiese e Oratori,Chiesa di S. Giovanni degli Eremiti,Chiesa,Via dei Benedettini,tel. 091 6515019,
Chiese e Oratori,Chiesa di S. Giovanni dei Lebbrosi,chiesa,"Via Cappello, 38",tel. 091 475024,
Chiese e Oratori,Chiesa di S. Giovanni dei Napoletani,Chiesa,Corso Vittorio Emanuele (angolo Piazza Marina),,
Chiese e Oratori,Chiesa di S. Giuseppe Cafasso (ex S. Giorgio in Kemonia) ,chiesa,"Via dei Benedettini, 16 90134 Palermo",tel. 091 6518223 - 091 3822777                    ,www.sangiuseppecafasso.arcidiocesi.palermo.it
Chiese e Oratori,Chiesa di S. Giuseppe dei Teatini,chiesa,Piazza Pretoria - Corso Vittorio Emanuele,tel. 091 331239,www.sangiuseppeteatini.arcidiocesi.palermo.it
Chiese e Oratori,Chiesa di S. Gregorio Papa,Chiesa,Via Porta di Carini,tel. 091 583791,
Chiese e Oratori,Chiesa di S. Ignazio Martire all'Olivella dei Padri Filippini,chiesa,Piazza Olivella ,tel. 091 586867,
Chiese e Oratori,Chiesa di S. Ippolito,Chiesa,"Via Porta Carini, 33",tel. 091 328430,www.santippolito.arcidiocesi.palermo.it
Chiese e Oratori,Chiesa di S. Maria in Valverde,chiesa,"Piazza S. Valverde, 3",tel. 091 332779 - 091 8431605 (Info e prenotazioni),www.santacita.it
Chiese e Oratori,Chiesa di S. Maria degli Angeli (La Gancia),Chiesa,"Via Alloro, 27",tel. 091 6165221,
Chiese e Oratori,Chiesa di S. Maria dei Miracoli,Chiesa,Piazza Marina,Chiusa al pubblico per restauro,
Chiese e Oratori,Chiesa di S. Maria del Carmine,Chiesa,Piazza del Carmine,tel:  091 6512018,
MUSEI E GALLERIE D'ARTE,G.A.M. Galleria d' Arte Moderna,Complesso Monumentale di S. Anna ai Lattarini,"Via Sant' Anna, 21  ",tel. 091 8431605,web: www.galleriadartemodernapalermo.it
Chiese e Oratori,Chiesa (di S.Maria) della Catena,Chiesa,Piazzetta delle Dogane,tel. 091 321529,www.amicimuseisiciliani.it
Chiese e Oratori,Chiesa di S. Maria della Pietà,Chiesa,"Via Torremuzza, 1",tel. 091 6165266,
Chiese e Oratori,Chiesa di S. Maria di Portosalvo,Chiesa,Piazza Marina,da Lunedì a Sabato dalle 7 alle 10 - Domenica e festivi dalle 10.30 alle 13,
MUSEI E GALLERIE D'ARTE,Galleria Regionale di Sicilia,Galleria Regionale di Sicilia - sede Palazzo Abatellis,"Via Alloro, 4",tel. 091 6230011,www.regione.sicilia.it/beniculturali/palazzoabatellis
Chiese e Oratori,Chiesa di S. Maria in valverde,Chiesa,Piazza S. Giorgio dei Genovesi,tel. 091 332779 - 091 8431605 (Info e prenotazioni),www.santacita.it
Chiese e Oratori,Chiesa di S. Maria La Nuova,Chiesa,"Piazza S. Giacomo la Marina, 13",tel. 091 326597,
MUSEI E GALLERIE D'ARTE,Chiesa di S. Matteo,Chiesa,"Corso Vittorio Emanuele, 247",tel. 329 6198263,
Chiese e Oratori,Chiesa di S. Mattia ai Crociferi,Chiesa,"Via Torremuzza (entrata da Foro Umberto I, 14)","tel. 091 740 6903 (sede dell'Assessorato al ""centro storico"")",
Chiese e Oratori,Chiesa di S. Nicolò da Tolentino,Chiesa,"Via Maqueda, 159",tel. 091 6163013,
Chiese e Oratori,Chiesa di S. Nicolo di Bari all'Albergheria,chiesa,"Via Nunzio Nasi, 18",tel. 091 6512820,
MUSEI E GALLERIE D'ARTE,"Museo Archeologico Regionale ""A. Salinas""",Museo Archeologico Regionale,"Piazza Olivella, 24",tel. 091 6116805/6,www.regione.sicilia.it/beniculturali/salinas
Chiese e Oratori,Chiesa di S. Ninfa dei Crociferi,chiesa,"Via Maqueda, angolo via Celso 220",tel. 091 334838 ,
MUSEI E GALLERIE D'ARTE,"Museo Civico ""Renato Guttuso""",Museo Civico,"Via Rammacca, 9 Bagheria PA c/o Villa Cattolica",tel: 091 943902/4/6,web: www.museoguttuso.it
MUSEI E GALLERIE D'ARTE,Museo d'Arte Contemporanea della Sicilia,Museo d'Arte Contemporanea della Sicilia - sede Palazzo Belmonte Riso,"Corso Vittorio Emanuele, 365",tel: 091 587717,www.palazzoriso.it
MUSEI E GALLERIE D'ARTE,Museo d' Arte Islamica,Museo d' Arte Islamica - Sede c/o Castello della Zisa,Piazza Guglielmo il Buono,tel: 091 6520269,
Chiese e Oratori,Chiesa di S. Sebastiano,Chiesa,Via del Noviziato,tel. 091 326597 (S.Maria La Nuova),
MUSEI E GALLERIE D'ARTE,"Museo d'Arte Moderna ""Giuseppe Sciortino""",Museo d'Arte Moderna,"Piazza Guglielmo II, Monreale (Pa)",tel: 091 6564647,
Chiese e Oratori,Chiesa di S. Stanislao Kostka,chiesa,Via del Noviziato,tel. 091 583859,www.stanislao.diocesipa.it
MUSEI E GALLERIE D'ARTE,"Museo del Giocattolo ""Pietro Piraino""",Museo del Giocattolo - sede Palazzo Aragona Cutò,"Via Consolare, 105 Bagheria PA ",tel: 091 943803 / 1,museodelgiocattolo.org
Chiese e Oratori,Chiesa di S. Teresa alla Kalsa,chiesa,Piazza Kalsa,tel. 091 6171658,
Chiese e Oratori,Chiesa di Ss. Pietro e Paolo Apostoli,chiesa,"Via Bentivegna 62, B",tel. 091 335485 - fax 091 6126843,
MUSEI E GALLERIE D'ARTE,Museo del Mare (Arsenale Borbonico),Museo del Mare (Arsenale Borbonico),"Via dell' Arsenale, 140 (ex Cristoforo Colombo)",tel. 091 361309 - 335 610 2379,www.arsenaledipalermo.it
MUSEI E GALLERIE D'ARTE,"Museo del Risorgimento ""V.E. Orlando""",Museo del Risorgimento,"Piazza S. Domenico, 1           ", tel. 091 582 774,www.storiapatria.it
MUSEI E GALLERIE D'ARTE,Museo della Specola (Osservatorio Astronomico),Osservatorio Astronomico,"Piazza del Parlamento, 1",tel. 091 233 247 - 091 233 232,www.astropa.unipa.it
MUSEI E GALLERIE D'ARTE,"Museo di Mineralogia e Zoologia ""P. Doderlein""",Museo di Mineralogia e Zoologia,"Via Archirafi, 16",tel. 091 238 91819 ,www.museozoologia.unipa.it
Chiese e Oratori,Duomo di Monreale,"Duomo di Monreale, chiesa",Piazza Duomo - Monreale PA,tel. 091 6402424   ,www.webdiocesi.chiesacattolica.it/sicilia/monreale
MUSEI E GALLERIE D'ARTE,Museo di Radiologia,Museo di Radiologia,"Piazza delle Cliniche, 2  (all'interno del Policlinico di Palermo)",tel. 091 655 2335/6,
Chiese e Oratori,Chiostro di Monreale,"Chiostro, chiesa",Piazza Guglielmo il Buono - Monreale (PA),tel. 091 6404403,www.palermotourism.com/datad/cultura/scheda.asp?id=1110
Chiese e Oratori,Oratorio dei Bianchi,Oratorio,Piazzetta dei Bianchi,tel. 091 6173080 ,
MUSEI E GALLERIE D'ARTE,Museo Diocesano,Museo Diocesano - Palazzo Arcivescovile,"Via Matteo Bonello, 2",tel. 091 607 7111,www.museodiocesanopa.it
Chiese e Oratori,Oratorio del Carminello,Oratorio,"Via Porta S. Agata, 5",tel. 329 2950170 ,
MUSEI E GALLERIE D'ARTE,Museo Enologico,Museo Enologico c/o Palazzo Principe di Palagonia,"Via del IV Aprile, 2  (Piazza Marina)",tel. 091 616 2288,www.enotecasicilia.eu
Chiese e Oratori,Oratorio del SS.Rosario in S. Domenico,Oratorio,Piazza S. Giorgio dei Genovesi,tel. 091 332779 - 091 8431605 (Info e prenotazioni),www.santacita.it
Chiese e Oratori,Oratorio di S. Caterina d'Alessandria,Oratorio,"Via Monteleone, 50",tel. 091 302667,www.santosepolcro.sicilia.it/chiese/s_caterina.htm
MUSEI E GALLERIE D'ARTE,"Museo Etnografico ""G. Pitrè""",Museo,"Viale Duca degli Abruzzi, 1","tel. 091 7409008 - 091 7409005
per informazioni e prenotazione visite : dal Lunedì al Venerdì dalle ore 09.30 alle ore 13.30",
Chiese e Oratori,Oratorio di S. Cita,Oratorio,Piazza S. Giorgio dei Genovesi,tel. 091 332779 - 091 8431605 (Info e prenotazioni),web: www.santacita.it
MUSEI E GALLERIE D'ARTE,"Museo Geologico di Paleontologia ""Gemmellaro""",Museo Geologico di Paleontologia,"Corso Tukory, 131",tel. 091 253 9477 ,www.unipa.it/museogemmellaro
Chiese e Oratori,Oratorio di S. Filippo Neri,Oratorio,Via Roma 320/A,tel. 091 6091324,www.oratoriosanfilipponeripalermo.org
MUSEI E GALLERIE D'ARTE," Museo Internazionale delle Marionette ""A. Pasqualino"" M.I.M.A.", Museo Internazionale delle Marionette,"Piazzetta A. Pasqualino, 5 (trav. via Butera)",tel. 091 328060,www.museomarionettepalermo.it
Chiese e Oratori,Oratorio di S. Lorenzo all'Immacolatella,Oratorio,"Via dell'Immacolatella, 5",tel. 091 6118168 ,www.amicimuseisiciliani.it
MUSEI E GALLERIE D'ARTE,Museo Mormino ,Museo - sede: Villa Zito,"Viale Libertà, 52 ",tel. 091 779 2711,www.museomormino.it
MUSEI E GALLERIE D'ARTE,Museo Regionale di Palazzo Mirto,Museo Regionale,"Via Merlo, 2",tel. 091 616 7541 - 091 616 4751,www.regione.sicilia.it/beniculturali/palazzomirto
MUSEI E GALLERIE D'ARTE,Museo sulla storia della Scienza,Museo sulla storia della Scienza - c/o Liceo Classico Garibaldi,"Via Maggiore Toselli, 36 ",tel: 091 589624 - 091 346152,www.museoscientifico.com
